column,dtype,missing_count,unique_count
order_id,object,0,99441
customer_id,object,0,99441
order_status,object,0,8
order_purchase_timestamp,datetime64[ns],0,98875
order_approved_at,datetime64[ns],160,90733
order_delivered_carrier_date,datetime64[ns],1783,81018
order_delivered_customer_date,datetime64[ns],2965,95664
order_estimated_delivery_date,datetime64[ns],0,459
customer_unique_id,object,0,96096
customer_zip_code_prefix,int64,0,14994
customer_city,object,0,4119
customer_state,object,0,27
item_count,float64,775,17
unique_products,float64,775,8
unique_sellers,float64,775,5
total_item_value,float64,775,7761
total_freight_value,float64,775,7970
payment_count,float64,1,20
total_payment_value,float64,1,27979
max_payment_installments,float64,1,24
review_count,float64,768,3
average_review_score,float64,768,11
seller_zip_code_prefix,float64,775,2243
seller_city,object,775,611
seller_state,object,775,23
distance_km,float64,1264,63303
