holiday_name,orders,late_rate,late_rate_pct
Carnival Monday,255,0.15294117647058825,15.294117647058824
Good Friday,210,0.11904761904761904,11.904761904761903
Carnival Tuesday,270,0.1111111111111111,11.11111111111111
Christmas,86,0.08139534883720931,8.13953488372093
Tiradentes,66,0.07575757575757576,7.575757575757576
Republic Day,176,0.07386363636363637,7.386363636363637
New Year,72,0.05555555555555555,5.555555555555555
All Souls Day,117,0.05128205128205128,5.128205128205128
Corpus Christi,103,0.04854368932038835,4.854368932038835
Labor Day,111,0.04504504504504504,4.504504504504505
Independence Day,97,0.041237113402061855,4.123711340206185
Our Lady of Aparecida,136,0.03676470588235294,3.6764705882352944
