hour,orders,late_rate,late_rate_pct
0,1662,0.09687123947051744,9.687123947051743
1,837,0.0884109916367981,8.841099163679809
2,370,0.07837837837837838,7.837837837837839
3,186,0.04838709677419355,4.838709677419355
4,136,0.07352941176470588,7.352941176470589
5,134,0.08208955223880597,8.208955223880597
6,318,0.08176100628930817,8.176100628930817
7,806,0.08064516129032258,8.064516129032258
8,1951,0.08508457201435161,8.508457201435162
9,3211,0.08564310183743382,8.564310183743382
10,4187,0.08693575352280869,8.693575352280869
11,4450,0.08898876404494382,8.898876404494382
12,4023,0.0924683072334079,9.246830723340791
13,4411,0.088415325323056,8.8415325323056
14,4541,0.08940761946707773,8.940761946707774
15,4445,0.0859392575928009,8.59392575928009
16,4470,0.09060402684563758,9.060402684563758
17,4191,0.08446671438797423,8.446671438797424
18,3877,0.08847046685581635,8.847046685581635
19,4060,0.09950738916256158,9.950738916256158
20,4138,0.09207346544224262,9.207346544224263
21,4194,0.0977587029089175,9.77587029089175
22,4023,0.09395973154362416,9.395973154362416
23,2912,0.09718406593406594,9.718406593406593
