customer_zip_code_prefix,orders,late_rate,feature,late_rate_pct,item_count,unique_products,unique_sellers,total_item_value,total_freight_value,payment_count,total_payment_value,max_payment_installments,seller_zip_code_prefix,distance_km
"(1003.999, 4844.0]",6769,0.048013000443196924,customer_zip_code_prefix,4.801300044319692,,,,,,,,,,
"(4844.0, 8790.0]",6739,0.05757530790918534,customer_zip_code_prefix,5.757530790918533,,,,,,,,,,
"(8790.0, 13280.0]",6759,0.07042461902648321,customer_zip_code_prefix,7.042461902648321,,,,,,,,,,
"(13280.0, 19696.0]",6746,0.04876964126890009,customer_zip_code_prefix,4.876964126890009,,,,,,,,,,
"(19696.0, 25959.0]",6755,0.1529237601776462,customer_zip_code_prefix,15.292376017764619,,,,,,,,,,
"(25959.0, 35162.0]",6784,0.125,customer_zip_code_prefix,12.5,,,,,,,,,,
"(35162.0, 45652.0]",6724,0.08298631766805473,customer_zip_code_prefix,8.298631766805473,,,,,,,,,,
"(45652.0, 71926.0]",6754,0.1445069588392064,customer_zip_code_prefix,14.45069588392064,,,,,,,,,,
"(71926.0, 87111.0]",6751,0.07406310176270182,customer_zip_code_prefix,7.406310176270183,,,,,,,,,,
"(87111.0, 99980.0]",6752,0.09789691943127962,customer_zip_code_prefix,9.789691943127963,,,,,,,,,,
,65975,0.09073133762788935,item_count,9.073133762788935,"(0.999, 2.0]",,,,,,,,,
,1558,0.0693196405648267,item_count,6.93196405648267,"(2.0, 21.0]",,,,,,,,,
,67533,0.09023736543615714,unique_products,9.023736543615714,,"(0.999, 7.0]",,,,,,,,
,67533,0.09023736543615714,unique_sellers,9.023736543615714,,,"(0.999, 5.0]",,,,,,,
,6921,0.07990174830226845,total_item_value,7.990174830226845,,,,"(2.289, 25.0]",,,,,,
,6758,0.07738976028410773,total_item_value,7.7389760284107725,,,,"(25.0, 39.0]",,,,,,
,6653,0.08642717571020592,total_item_value,8.642717571020592,,,,"(39.0, 49.99]",,,,,,
,6716,0.08650982727814176,total_item_value,8.650982727814176,,,,"(49.99, 65.9]",,,,,,
,6742,0.08780777217442895,total_item_value,8.780777217442894,,,,"(65.9, 85.0]",,,,,,
,6767,0.08807447908970001,total_item_value,8.807447908970001,,,,"(85.0, 104.9]",,,,,,
,6718,0.09377791009228938,total_item_value,9.377791009228938,,,,"(104.9, 130.99]",,,,,,
,6759,0.10415741973664744,total_item_value,10.415741973664744,,,,"(130.99, 175.0]",,,,,,
,6747,0.09174447902771603,total_item_value,9.174447902771602,,,,"(175.0, 269.8]",,,,,,
,6752,0.10678317535545023,total_item_value,10.678317535545023,,,,"(269.8, 13440.0]",,,,,,
,7297,0.04303138276003837,total_freight_value,4.303138276003837,,,,,"(-0.001, 10.96]",,,,,
,6221,0.05658254299951776,total_freight_value,5.658254299951776,,,,,"(10.96, 13.0]",,,,,
,6798,0.06854957340394234,total_freight_value,6.854957340394234,,,,,"(13.0, 14.52]",,,,,
,6708,0.08884913536076326,total_freight_value,8.884913536076326,,,,,"(14.52, 15.48]",,,,,
,7244,0.09400883489784649,total_freight_value,9.400883489784649,,,,,"(15.48, 16.79]",,,,,
,6290,0.09793322734499205,total_freight_value,9.793322734499204,,,,,"(16.79, 18.02]",,,,,
,6773,0.11959249963088735,total_freight_value,11.959249963088734,,,,,"(18.02, 21.15]",,,,,
,6698,0.11227232009555091,total_freight_value,11.227232009555092,,,,,"(21.15, 26.92]",,,,,
,6759,0.10149430389110815,total_freight_value,10.149430389110815,,,,,"(26.92, 37.9]",,,,,
,6745,0.1217197924388436,total_freight_value,12.17197924388436,,,,,"(37.9, 1002.29]",,,,,
,67532,0.09022389385772671,payment_count,9.022389385772671,,,,,,"(0.999, 26.0]",,,,
,6772,0.07176609568812758,total_payment_value,7.176609568812759,,,,,,,"(10.069, 39.42]",,,
,6736,0.07927553444180523,total_payment_value,7.927553444180522,,,,,,,"(39.42, 54.23]",,,
,6758,0.08005327019828351,total_payment_value,8.005327019828352,,,,,,,"(54.23, 67.82]",,,
,6748,0.0877296976882039,total_payment_value,8.77296976882039,,,,,,,"(67.82, 84.16]",,,
,6756,0.09029011249259918,total_payment_value,9.029011249259918,,,,,,,"(84.16, 104.19]",,,
,6758,0.09351879254217224,total_payment_value,9.351879254217224,,,,,,,"(104.19, 127.41]",,,
,6753,0.09432844661631867,total_payment_value,9.432844661631867,,,,,,,"(127.41, 157.32]",,,
,6747,0.10226767452200979,total_payment_value,10.226767452200978,,,,,,,"(157.32, 200.55]",,,
,6750,0.09540740740740741,total_payment_value,9.540740740740741,,,,,,,"(200.55, 304.806]",,,
,6754,0.10763991708617116,total_payment_value,10.763991708617116,,,,,,,"(304.806, 13664.08]",,,
,40688,0.08653657097915847,max_payment_installments,8.653657097915847,,,,,,,,"(0.999, 2.0]",,
,7220,0.09224376731301939,max_payment_installments,9.22437673130194,,,,,,,,"(2.0, 3.0]",,
,8477,0.09366521174943966,max_payment_installments,9.366521174943966,,,,,,,,"(3.0, 5.0]",,
,6470,0.10077279752704792,max_payment_installments,10.077279752704792,,,,,,,,"(5.0, 8.0]",,
,4677,0.09835364549925166,max_payment_installments,9.835364549925165,,,,,,,,"(8.0, 24.0]",,
,6776,0.09489374262101535,seller_zip_code_prefix,9.489374262101535,,,,,,,,,"(1000.999, 3476.0]",
,6751,0.08798696489408976,seller_zip_code_prefix,8.798696489408977,,,,,,,,,"(3476.0, 4850.0]",
,6822,0.0870712401055409,seller_zip_code_prefix,8.70712401055409,,,,,,,,,"(4850.0, 8577.0]",
,6682,0.08455552229871297,seller_zip_code_prefix,8.455552229871296,,,,,,,,,"(8577.0, 12940.0]",
,6748,0.0986959098992294,seller_zip_code_prefix,9.86959098992294,,,,,,,,,"(12940.0, 13912.0]",
,8957,0.12738640169699678,seller_zip_code_prefix,12.738640169699678,,,,,,,,,"(13912.0, 14940.0]",
,4545,0.10055005500550054,seller_zip_code_prefix,10.055005500550054,,,,,,,,,"(14940.0, 19803.0]",
,6888,0.07607433217189315,seller_zip_code_prefix,7.607433217189315,,,,,,,,,"(19803.0, 37175.0]",
,6673,0.06878465457815075,seller_zip_code_prefix,6.878465457815075,,,,,,,,,"(37175.0, 85802.0]",
,6691,0.06740397548946346,seller_zip_code_prefix,6.740397548946346,,,,,,,,,"(85802.0, 99730.0]",
,6720,0.045089285714285714,distance_km,4.508928571428571,,,,,,,,,,"(-0.001, 40.22]"
,6718,0.054927061625483775,distance_km,5.4927061625483775,,,,,,,,,,"(40.22, 133.696]"
,6719,0.06965322220568537,distance_km,6.965322220568537,,,,,,,,,,"(133.696, 293.284]"
,6721,0.09596786192530873,distance_km,9.596786192530873,,,,,,,,,,"(293.284, 355.15]"
,6717,0.08947446776834897,distance_km,8.947446776834896,,,,,,,,,,"(355.15, 448.56]"
