params,average_precision,roc_auc,f1,precision,recall,accuracy
"{'learning_rate': 0.1, 'max_iter': 400, 'max_leaf_nodes': 31, 'min_samples_leaf': 20, 'l2_regularization': 2.0, 'class_weight': 'balanced'}",0.10816852879720124,0.65515152375813,0.1690229343386742,0.1115257048092869,0.34889753566796367,0.8172206481929376
"{'learning_rate': 0.1, 'max_iter': 600, 'max_leaf_nodes': 31, 'min_samples_leaf': 20, 'l2_regularization': 2.0, 'class_weight': 'balanced'}",0.10816852879720124,0.65515152375813,0.1690229343386742,0.1115257048092869,0.34889753566796367,0.8172206481929376
"{'learning_rate': 0.1, 'max_iter': 400, 'max_leaf_nodes': 31, 'min_samples_leaf': 20, 'l2_regularization': 1.0, 'class_weight': 'balanced'}",0.10797683352350426,0.6441365370596533,0.16776625824693686,0.11069651741293532,0.3463035019455253,0.8169442332941745
"{'learning_rate': 0.1, 'max_iter': 600, 'max_leaf_nodes': 31, 'min_samples_leaf': 20, 'l2_regularization': 1.0, 'class_weight': 'balanced'}",0.10797683352350426,0.6441365370596533,0.16776625824693686,0.11069651741293532,0.3463035019455253,0.8169442332941745
"{'learning_rate': 0.1, 'max_iter': 400, 'max_leaf_nodes': 31, 'min_samples_leaf': 15, 'l2_regularization': 2.0, 'class_weight': 'balanced'}",0.10770215136025763,0.6426372518390184,0.16651418115279049,0.10885167464114832,0.3540856031128405,0.8111395204201507
"{'learning_rate': 0.1, 'max_iter': 600, 'max_leaf_nodes': 31, 'min_samples_leaf': 15, 'l2_regularization': 2.0, 'class_weight': 'balanced'}",0.10770215136025763,0.6426372518390184,0.16651418115279049,0.10885167464114832,0.3540856031128405,0.8111395204201507
"{'learning_rate': 0.1, 'max_iter': 400, 'max_leaf_nodes': 47, 'min_samples_leaf': 15, 'l2_regularization': 2.0, 'class_weight': 'balanced'}",0.10768326211739729,0.6465014626941974,0.1728314238952537,0.11558669001751314,0.3424124513618677,0.8253748877064474
"{'learning_rate': 0.1, 'max_iter': 600, 'max_leaf_nodes': 47, 'min_samples_leaf': 15, 'l2_regularization': 2.0, 'class_weight': 'balanced'}",0.10768326211739729,0.6465014626941974,0.1728314238952537,0.11558669001751314,0.3424124513618677,0.8253748877064474
"{'learning_rate': 0.1, 'max_iter': 400, 'max_leaf_nodes': 47, 'min_samples_leaf': 15, 'l2_regularization': 1.0, 'class_weight': 'balanced'}",0.10765031233892317,0.6460866066441345,0.17000328191663933,0.11379613356766256,0.3359273670557717,0.8252366802570659
"{'learning_rate': 0.1, 'max_iter': 600, 'max_leaf_nodes': 47, 'min_samples_leaf': 15, 'l2_regularization': 1.0, 'class_weight': 'balanced'}",0.10765031233892317,0.6460866066441345,0.17000328191663933,0.11379613356766256,0.3359273670557717,0.8252366802570659
